element	sp_num	ritz_wl_vac(A)	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)	Type
C	2	"1009.862"	"566000000.0"	"0.173"	"A"	"43002.8"	"142026.24"	""
C	2	"1010.087"	"1130000000.0"	"0.173"	"A"	"43024.9"	"142026.24"	""
C	2	"1010.376"	"1690000000.0"	"0.172"	"A"	"43053.2"	"142026.24"	""
C	2	"1036.3377"	"738000000.0"	"0.119"	"A"	"0.000000"	"96493.646"	""
C	2	"1037.019"	"1460000000.0"	"0.118"	"A"	"63.395090"	"96493.646"	""
C	2	"1065.8915"	"1300000000.0"	"0.148"	"A"	"74930.077"	"168748.26"	""
C	2	"1065.9201"	"144000000.0"	"0.0245"	"A"	"74932.602"	"168748.26"	""
C	2	"1066.1332"	"1450000000.0"	"0.123"	"A"	"74932.602"	"168729.51"	""
C	2	"1091.9369"	"360000000.0"	"0.065"	"C"	"110624.18"	"202204.56"	""
C	2	"1092.7258"	"450000000.0"	"0.081"	"C"	"110665.59"	"202179.86"	""
C	2	"1138.9353"	"422000000.0"	"0.164"	"B"	"110624.18"	"198425.48"	""
C	2	"1139.3328"	"505000000.0"	"0.147"	"B"	"110665.59"	"198436.26"	""
C	2	"1139.4727"	"83900000.0"	"0.0163"	"B"	"110665.59"	"198425.48"	""
C	2	"1141.6244"	"144000000.0"	"0.0188"	"B"	"74930.077"	"162524.56"	""
C	2	"1141.7441"	"160000000.0"	"0.0156"	"B"	"74932.602"	"162517.90"	""
C	2	"1230.0142"	"180000000.0"	"0.0816"	"B"	"96493.646"	"177793.52"	""
C	2	"1230.3013"	"180000000.0"	"0.0409"	"B"	"96493.646"	"177774.55"	""
C	2	"1269.0179"	"38200000.0"	"0.0184"	"B"	"96493.646"	"175294.74"	""
C	2	"1323.9054"	"439000000.0"	"0.115"	"A"	"74932.602"	"150466.70"	""
C	2	"1323.9509"	"455000000.0"	"0.12"	"A"	"74930.077"	"150461.58"	""
C	2	"1334.5326"	"241000000.0"	"0.129"	"A"	"0.000000"	"74932.602"	""
C	2	"1335.7077"	"288000000.0"	"0.115"	"A"	"63.395090"	"74930.077"	""
C	2	"1383.9947"	"40700000.0"	"0.0234"	"B"	"96493.646"	"168748.26"	""
C	2	"1547.2894"	"44600000.0"	"0.016"	"B"	"110665.59"	"175294.74"	""
C	2	"1720.4573"	"86500000.0"	"0.0768"	"B"	"110624.18"	"168748.26"	""
C	2	"1721.0125"	"346000000.0"	"0.154"	"B"	"110624.18"	"168729.51"	""
C	2	"1721.6839"	"433000000.0"	"0.192"	"B"	"110665.59"	"168748.26"	""
C	2	"1722.2399"	"172000000.0"	"0.0382"	"B"	"110665.59"	"168729.51"	""
C	2	"1758.1032"	"39400000.0"	"0.0274"	"B"	"131735.528"	"188615.01"	""
C	2	"1758.8022"	"32700000.0"	"0.0303"	"B"	"131724.382"	"188581.26"	""
C	2	"1797.623"	"28000000.0"	"0.027"	"C"	"131724.382"	"187353.4"	""
C	2	"1797.983"	"33000000.0"	"0.024"	"C"	"131735.528"	"187353.4"	""
C	2	"1910.209"	"28000000.0"	"0.0306"	"B"	"131724.382"	"184074.67"	""
C	2	"1910.591"	"33600000.0"	"0.0276"	"B"	"131735.528"	"184075.36"	""
C	2	"2000.9"	"24000000.0"	"0.019"	"C"	"186466.03"	"236444.1"	""
C	2	"2039.0"	"5000000.0"	"20000000.0"	"E"	"181711.05"	"230754.8"	""
